source,target,weight
Bhutan,India,5
Argentina,Uruguay,4
Argentina,Brazil,3
Australia,New Zealand,3
Belarus,Russia,3
Brazil,Cuba,3
Chile,Ecuador,3
Chile,Peru,3
China,Pakistan,3
Colombia,Cuba,3
Cuba,Peru,3
Egypt,Jordan,3
Egypt,Morocco,3
El Salvador,Panama,3
Iraq,Jordan,3
Jordan,Sudan,3
Jordan,Syria,3
South Africa,Zimbabwe,3
Algeria,Morocco,2
Algeria,Tunisia,2
Argentina,Chile,2
Argentina,Cuba,2
Argentina,Ecuador,2
Argentina,Mexico,2
Argentina,Venezuela,2
Australia,Papua New Guinea,2
Australia,Singapore,2
Bolivia,Cuba,2
Bosnia & Herzegovina,North Macedonia,2
Bosnia & Herzegovina,Turkey,2
Brazil,Mexico,2
Brazil,Uruguay,2
Brazil,Venezuela,2
Canada,Chile,2
Canada,Israel,2
Canada,United States,2
Chile,China,2
Chile,Colombia,2
Chile,Mexico,2
Chile,Uruguay,2
Colombia,Costa Rica,2
Colombia,Mexico,2
Colombia,Panama,2
Costa Rica,Mexico,2
Croatia,North Macedonia,2
Cuba,Ecuador,2
Cuba,Mexico,2
Cuba,Uruguay,2
Cuba,Venezuela,2
Egypt,Libya,2
Egypt,Saudi Arabia,2
Egypt,Syria,2
Faroe Islands,Iceland,2
Faroe Islands,Sweden,2
Guatemala,Mexico,2
Honduras,Mexico,2
India,Nepal,2
Iraq,Lebanon,2
Iraq,Syria,2
Iraq,United Arab Emirates,2
Israel,Jordan,2
Jordan,Kuwait,2
Jordan,Lebanon,2
Jordan,Morocco,2
Lebanon,Saudi Arabia,2
Malawi,South Africa,2
Malawi,Zimbabwe,2
Mexico,Nicaragua,2
Mexico,Panama,2
Mexico,Peru,2
Mexico,Uruguay,2
Moldova,Ukraine,2
Namibia,Zimbabwe,2
North Macedonia,Serbia,2
Saudi Arabia,Syria,2
Uruguay,Venezuela,2
Afghanistan,India,1
Albania,Bosnia & Herzegovina,1
Albania,Bulgaria,1
Albania,Croatia,1
Albania,Kosovo,1
Albania,Moldova,1
Albania,North Macedonia,1
Albania,Romania,1
Albania,Serbia,1
Albania,Turkey,1
Albania,United Kingdom,1
Algeria,Iraq,1
Algeria,Jordan,1
Argentina,Bolivia,1
Argentina,Colombia,1
Argentina,Costa Rica,1
Argentina,El Salvador,1
Argentina,Paraguay,1
Argentina,Peru,1
Armenia,Belarus,1
Armenia,Estonia,1
Armenia,Georgia,1
Armenia,Iran,1
Armenia,Kazakhstan,1
Armenia,Kyrgyzstan,1
Armenia,Moldova,1
Armenia,Russia,1
Armenia,Tajikistan,1
Armenia,Turkmenistan,1
Armenia,Ukraine,1
Australia,Canada,1
Australia,Chile,1
Australia,China,1
Australia,Hong Kong SAR China,1
Australia,Indonesia,1
Australia,Japan,1
Australia,Malaysia,1
Australia,Peru,1
Australia,South Korea,1
Australia,Thailand,1
Australia,United Kingdom,1
Australia,United States,1
Austria,Faroe Islands,1
Azerbaijan,Belarus,1
Azerbaijan,Georgia,1
Azerbaijan,Kazakhstan,1
Azerbaijan,Kyrgyzstan,1
Azerbaijan,Moldova,1
Azerbaijan,Russia,1
